Time,Open,High,Low,Close,Adj Close,Volume
3/30/2017,0.010125,0.014126,0.010125,0.013276,0.013276,19821800
3/31/2017,0.013049,0.021776,0.013049,0.020889,0.020889,72699400
4/1/2017,0.021743,0.022798,0.019664,0.021892,0.021892,30657700
4/2/2017,0.021938,0.071441,0.021696,0.061159,0.061159,230622000
4/3/2017,0.060291,0.061594,0.027447,0.033023,0.033023,155550000
4/4/2017,0.033032,0.040702,0.028324,0.037455,0.037455,78538096
4/5/2017,0.037386,0.040178,0.035214,0.035544,0.035544,42360300
4/6/2017,0.035672,0.036843,0.029463,0.032665,0.032665,48264600
4/7/2017,0.03274,0.036935,0.030789,0.03632,0.03632,36825000
4/8/2017,0.036355,0.036895,0.034932,0.035849,0.035849,14782600
4/9/2017,0.035799,0.035799,0.032327,0.03402,0.03402,15695600
4/10/2017,0.034123,0.035091,0.032806,0.033598,0.033598,12012700
4/11/2017,0.033677,0.034576,0.032035,0.032952,0.032952,11301000
4/12/2017,0.033002,0.034794,0.032477,0.034336,0.034336,13437000
4/13/2017,0.034459,0.035574,0.033461,0.034383,0.034383,15872400
4/14/2017,0.034262,0.035127,0.032986,0.033779,0.033779,8869300
4/15/2017,0.033528,0.034281,0.033276,0.033955,0.033955,4972610
4/16/2017,0.03388,0.034002,0.033194,0.033462,0.033462,5980280
4/17/2017,0.0334,0.03406,0.032955,0.033655,0.033655,7933260
4/18/2017,0.033638,0.034021,0.032866,0.033184,0.033184,8970210
4/19/2017,0.033181,0.033387,0.029687,0.030173,0.030173,13265600
4/20/2017,0.030259,0.030611,0.027493,0.029984,0.029984,25650400
4/21/2017,0.029727,0.034044,0.029216,0.032779,0.032779,28245700
4/22/2017,0.033122,0.033279,0.031422,0.03177,0.03177,9020550
4/23/2017,0.031878,0.031974,0.030742,0.031278,0.031278,4976320
4/24/2017,0.031236,0.031436,0.030739,0.031384,0.031384,6333250
4/25/2017,0.031409,0.033826,0.031297,0.032346,0.032346,13469200
4/26/2017,0.03239,0.033509,0.032183,0.032797,0.032797,11921700
4/27/2017,0.032827,0.035377,0.032157,0.034816,0.034816,16661600
4/28/2017,0.034843,0.045111,0.034784,0.044475,0.044475,81121600
4/29/2017,0.044558,0.057719,0.044558,0.052868,0.052868,114359000
4/30/2017,0.052807,0.054646,0.049574,0.051607,0.051607,41974200
5/1/2017,0.05158,0.057779,0.049317,0.055115,0.055115,61730100
5/2/2017,0.054646,0.055639,0.05071,0.053908,0.053908,33814700
5/3/2017,0.053905,0.061435,0.052283,0.06049,0.06049,42869000
5/4/2017,0.061062,0.085499,0.059283,0.078914,0.078914,153374000
5/5/2017,0.080229,0.106935,0.078704,0.093551,0.093551,184430000
5/6/2017,0.093429,0.106144,0.093429,0.101791,0.101791,88394200
5/7/2017,0.101929,0.148274,0.098938,0.141763,0.141763,249028992
5/8/2017,0.14162,0.237587,0.135105,0.198212,0.198212,402611008
5/9/2017,0.199198,0.21689,0.134406,0.160074,0.160074,214002000
5/10/2017,0.158471,0.201207,0.156363,0.186066,0.186066,138792000
5/11/2017,0.185035,0.194828,0.162431,0.183135,0.183135,103699000
5/12/2017,0.18276,0.209535,0.180984,0.206068,0.206068,123635000
5/13/2017,0.206697,0.223602,0.18698,0.214878,0.214878,117101000
5/14/2017,0.215179,0.223486,0.211186,0.220223,0.220223,69732000
5/15/2017,0.220069,0.27072,0.220069,0.27072,0.27072,223923008
5/16/2017,0.269824,0.349861,0.269824,0.349861,0.349861,440881984
5/17/2017,0.355124,0.43517,0.326358,0.394132,0.394132,470974016
5/18/2017,0.394931,0.408012,0.331116,0.364869,0.364869,237644000
5/19/2017,0.363505,0.363505,0.300794,0.327801,0.327801,269894016
5/20/2017,0.328631,0.370361,0.303941,0.351634,0.351634,237792000
5/21/2017,0.353164,0.367636,0.332222,0.336201,0.336201,129765000
5/22/2017,0.338403,0.345412,0.270091,0.317954,0.317954,265699008
5/23/2017,0.313347,0.354014,0.291893,0.323368,0.323368,153050000
5/24/2017,0.325054,0.357358,0.293009,0.29589,0.29589,166168000
5/25/2017,0.291834,0.303467,0.238308,0.246065,0.246065,237804992
5/26/2017,0.245083,0.327812,0.245083,0.271808,0.271808,253935008
5/27/2017,0.272697,0.283363,0.162345,0.212549,0.212549,255532000
5/28/2017,0.212887,0.242395,0.204652,0.229554,0.229554,122253000
5/29/2017,0.227189,0.24282,0.214777,0.23207,0.23207,86555600
5/30/2017,0.232191,0.237367,0.205324,0.205324,0.205324,92808704
5/31/2017,0.20536,0.247677,0.193839,0.24659,0.24659,160620000
6/1/2017,0.243946,0.336797,0.243946,0.333657,0.333657,588819008
6/2/2017,0.333645,0.335809,0.29071,0.303448,0.303448,293676992
6/3/2017,0.30046,0.310863,0.277563,0.29458,0.29458,155454000
6/4/2017,0.298386,0.313944,0.277185,0.299413,0.299413,153488000
6/5/2017,0.299862,0.302394,0.2846,0.294003,0.294003,78433504
6/6/2017,0.294028,0.294537,0.276248,0.284548,0.284548,132720000
6/7/2017,0.284677,0.298379,0.278874,0.279783,0.279783,145839008
6/8/2017,0.280902,0.29857,0.276441,0.289678,0.289678,103152000
6/9/2017,0.289695,0.299493,0.285884,0.286019,0.286019,102482000
6/10/2017,0.285806,0.288991,0.257879,0.260874,0.260874,156720992
6/11/2017,0.259445,0.277735,0.259113,0.272759,0.272759,114566000
6/12/2017,0.273075,0.28329,0.247476,0.253964,0.253964,149942000
6/13/2017,0.253823,0.274659,0.2522,0.266153,0.266153,111937000
6/14/2017,0.265823,0.307854,0.263202,0.278447,0.278447,431096000
